Vendor,SystemName,Chips,CoresPer Chip,M Value,M Value Per Core,Published Date
ACTION S.A.,"ACTION S.A. - ACTINA SIERRA (Intel Core 2 Duo E7200) (Intel Core 2 Duo E7200, 1CPU x 2Cores, 2.53GHz)",1,2,65800,"32,900",01-Dec-07
ACTION S.A.,"ACTION S.A. - ACTINA SIERRA (Intel Core 2 Duo E8500) (Intel Core 2 Duo E8500, 1CPU x 2Cores, 3.17GHz)",1,2,84100,"42,050",01-Dec-07
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 100 S5 (Intel Xeon E3-1220) (Intel Xeon E3-1220, 1CPU x 4Cores, 3.10GHz, L3 8MB)",1,4,304000,"76,000",01-Oct-11
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 100 S5 (Intel Xeon E3-1240) (Intel Xeon E3-1240, 1CPU x 4Cores, 3.30GHz, L3 8MB)",1,4,365000,"91,250",01-Oct-11
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 100 S6+ (Intel Xeon E5-2650 v3, 2.30 GHz) (Intel Xeon E5-2650 v3, 1CPU x 10Cores, 2.30GHz)",1,10,937000,"93,700",01-Sep-14
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 S5 (Intel Xeon E3-1220) (Intel Xeon E3-1220, 1CPU x 4Cores, 3.10GHz, L3 8MB)",1,4,306000,"76,500",01-Oct-11
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 S5 (Intel Xeon E3-1220V2) (Intel Xeon E3-1220V2, 1CPU x 4Cores, 3.10GHz, L3 8MB)",1,4,340000,"85,000",01-Jun-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 S5 (Intel Xeon E3-1240) (Intel Xeon E3-1240, 1CPU x 4Cores, 3.30GHz, L3 8MB)",1,4,365000,"91,250",01-Oct-11
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 S6 (Intel Xeon E3-1220 v3, 3.10 GHz) (Intel Xeon E3-1220 v3, 1CPU x 4Cores, 3.10GHz)",1,4,395000,"98,750",01-Aug-15
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 S6 (Intel Xeon E3-1241 v3, 3.50 GHz) (Intel Xeon E3-1241 v3, 1CPU x 4Cores, 3.50GHz)",1,4,497000,"124,250",01-Sep-14
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 X5+ (Intel Xeon E5-1660) (Intel Xeon E5-1660, 1CPU x 6Cores, 3.30GHz, L3 15MB)",1,6,631000,"105,167",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 110 X6 (Intel Xeon E3-1241 v3, 3.50 GHz) (Intel Xeon E3-1241 v3, 1CPU x 4Cores, 3.50GHz)",1,4,490000,"122,500",01-Sep-14
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 112 S6 (Intel Xeon E3-1220 v3, 3.10 GHz) (Intel Xeon E3-1220 v3, 1CPU x 4Cores, 3.10GHz)",1,4,397000,"99,250",01-Oct-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 120 S5 (Intel Xeon E3-1220V2) (Intel Xeon E3-1220V2, 1CPU x 4Cores, 3.10GHz, L3 8MB)",1,4,340000,"85,000",01-Jun-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S2 (Intel Xeon E5405, 2.0 GHz) (Intel Xeon E5405, 2CPU x 4Cores, 2.00GHz)",2,4,226000,"28,250",01-Feb-09
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S4 (Intel Xeon E5504) (Intel Xeon E5504, 2CPU x 4Cores, 2.00GHz, L3 4MB)",2,4,282000,"35,250",01-Apr-09
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S4 (Intel Xeon E5506) (Intel Xeon E5506, 2CPU x 4Cores, 2.13GHz, L3 4MB)",2,4,295000,"36,875",01-Apr-09
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S4+ (Intel Xeon E5504) (Intel Xeon E5504, 2CPU x 4Cores, 2.00GHz, L3 4MB)",2,4,282000,"35,250",01-Apr-09
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S4+ (Intel Xeon E5520) (Intel Xeon E5520, 2CPU x 4Cores, 2.27GHz, L3 8MB)",2,4,414000,"51,750",01-Apr-09
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2603) (Intel Xeon E5-2603, 2CPU x 4Cores, 1.80GHz, L3 10MB)",2,4,371000,"46,375",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2609) (Intel Xeon E5-2609, 2CPU x 4Cores, 2.40GHz, L3 10MB)",2,4,476000,"59,500",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2620 v2, 2.10 GHz) (Intel Xeon E5-2620 v2, 2CPU x 6Cores, 2.10GHz)",2,6,961000,"80,083",01-Oct-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2620) (Intel Xeon E5-2620, 1CPU x 6Cores, 2.00GHz, L3 15MB)",1,6,427000,"71,167",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2620) (Intel Xeon E5-2620, 2CPU x 6Cores, 2.00GHz, L3 15MB)",2,6,839000,"69,917",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2630 v2, 2.60 GHz) (Intel Xeon E5-2630 v2, 2CPU x 6Cores, 2.60GHz)",2,6,1140000,"95,000",01-Oct-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2630) (Intel Xeon E5-2630, 1CPU x 6Cores, 2.30GHz, L3 15MB)",1,6,479000,"79,833",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2630L) (Intel Xeon E5-2630L, 2CPU x 6Cores, 2.00GHz, L3 15MB)",2,6,828000,"69,000",01-Mar-12
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2640 v2, 2.00 GHz) (Intel Xeon E5-2640 v2, 2CPU x 8Cores, 2.00GHz, L3 20MB)",2,8,1150000,"71,875",01-Oct-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2650 v2, 2.60 GHz) (Intel Xeon E5-2650 v2, 2CPU x 8Cores, 2.60GHz)",2,8,1530000,"95,625",01-Oct-13
ACTION S.A.,"ACTION S.A. - ACTINA SOLAR 200 S5 (Intel Xeon E5-2650) (Intel Xeon E5-2650, 2CPU x 8Cores, 2.00GHz, L3 20MB)",2,8,1150000,"71,875",01-Mar-12
